t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1,cft0,cft1,pee0,pee1
13.1585,0.578311,0.203434,-0,0.0526672,0.592117,0.322659,0.0076699,0.0422495,0.0187883,0.0163095,84.8413,98.0935
13.2065,0.578311,0.119225,-0,0.0575866,0.599786,0.358542,-0,0.0402238,0.0172337,0.0168819,92.2432,97.6611
13.2545,0.578311,0.173049,0.00460194,0.0465902,0.599786,0.129642,-0,0.0303849,0.0157797,0.0156844,87.5121,98.6276
13.3025,0.579845,0.278094,0.00306796,0.041092,0.610524,0.120093,0.0076699,0.0300955,0.0164317,0.0168819,78.2789,99.1109
13.3505,0.579845,0.274043,-0,0.0332787,0.610524,0.120093,-0,0.0202566,0.0184932,0.0152643,78.635,99.7977
13.3985,0.582913,0.166972,0.00153398,0.0303849,0.610524,0.120093,0.00153398,0.0199672,0.0183848,0.0174929,88.0463,100.052
13.4465,0.581379,0.122118,0.00153398,0.0231504,0.610524,0.120093,-0,0.0199672,0.0147986,0.0147648,91.9889,100.688
13.4945,0.582913,0.120093,-0,0.0202566,0.618194,0.120093,-0,0.0199672,0.0139642,0.0167631,92.1669,100.942
13.5425,0.582913,0.120093,-0,0.0199672,0.619728,0.120093,-0,0.0118646,0.0159374,0.0163095,92.1669,100.968
13.5905,0.584447,0.120093,-0,0.0199672,0.619728,0.127906,-0,0.0101283,0.0160312,0.0168819,92.1669,100.968
13.6386,0.584447,0.120093,-0.00153398,0.014469,0.619728,0.120382,-0,0.0101283,0.0170294,0.0164012,92.1669,101.451
13.6866,0.584447,0.124723,-0,0.0115752,0.627398,0.120093,-0,0.0101283,0.0161555,0.0171172,91.7599,101.705
13.7345,0.584447,0.122118,-0,0.0101283,0.630466,0.120093,-0,0.0101283,0.0166132,0.0174929,91.9889,101.833
13.7826,0.585981,0.119514,-0,0.0101283,0.630466,0.113726,0.00920388,0.0101283,0.0148661,0.0167631,92.2178,101.833
13.8305,0.585981,0.120093,-0,0.0101283,0.630466,0.129353,0.00153398,0.0101283,0.0171172,0.0163095,92.1669,101.833
13.8784,0.585981,0.115463,0.00306796,0.0101283,0.630466,0.129932,0.0076699,0.0101283,0.0161555,0.0167631,92.5739,101.833
13.9264,0.585981,0.124144,0.00153398,0.0101283,0.632,0.129932,0.0076699,0.0101283,0.0160312,0.0168819,91.8108,101.833
13.9745,0.585981,0.127617,0.00306796,0.0101283,0.630466,0.129932,0.0107379,0.0101283,0.0159374,0.0168819,91.5056,101.833
14.0225,0.587515,0.127906,0.0076699,0.0101283,0.630466,0.129932,0.00153398,0.0101283,0.0168819,0.0181384,91.4801,101.833
14.0704,0.587515,0.127906,0.0107379,0.0101283,0.630466,0.129932,0.00153398,0.0101283,0.015748,0.0168819,91.4801,101.833
14.1184,0.587515,0.127906,0.00920388,0.0101283,0.630466,0.122118,0.00920388,0.0101283,0.0159374,0.0171172,91.4801,101.833
14.1665,0.587515,0.127906,0.00153398,0.0101283,0.630466,0.120382,0.00920388,0.0101283,0.0160312,0.0181384,91.4801,101.833
14.2145,0.587515,0.123855,0.00306796,0.0101283,0.638136,0.12154,0.0107379,0.0101283,0.0146287,0.0168819,91.8362,101.833
14.2625,0.587515,0.120961,0.00920388,0.0104177,0.632,0.120093,0.0107379,0.0101283,0.0160312,0.0176635,92.0906,101.807
14.3105,0.589049,0.12125,0.0107379,0.0101283,0.630466,0.120093,0.0107379,0.0101283,0.0161555,0.0168819,92.0652,101.833
14.3585,0.589049,0.119803,0.0107379,0.0101283,0.630466,0.120093,0.0076699,0.0101283,0.0153948,0.0184662,92.1923,101.833
14.4065,0.589049,0.120093,0.0107379,0.0101283,0.630466,0.120093,0.00920388,0.0101283,0.0151658,0.0168819,92.1669,101.833
14.4544,0.589049,0.120093,0.00920388,0.0101283,0.638136,0.120093,0.0076699,0.0101283,0.0159374,0.0176635,92.1669,101.833
14.5024,0.589049,0.120093,0.0076699,0.0101283,0.63967,0.120093,-0,0.0101283,0.015748,0.0167631,92.1669,101.833
14.5504,0.589049,0.120093,0.0076699,0.0104177,0.63967,0.120093,0.0076699,0.0101283,0.0151658,0.0181384,92.1669,101.807
14.5985,0.589049,0.120093,0.00460194,0.0101283,0.63967,0.120093,0.00920388,0.0101283,0.0161555,0.0161245,92.1669,101.833
14.6464,0.589049,0.120093,0.00460194,0.0101283,0.63967,0.120093,0.0107379,0.0101283,0.0161555,0.0168819,92.1669,101.833
14.6944,0.589049,0.120093,0.00920388,0.0101283,0.63967,0.120093,0.0107379,0.0101283,0.0151658,0.0161245,92.1669,101.833
14.7424,0.589049,0.120093,0.0107379,0.0101283,0.638136,0.120093,0.0107379,0.0101283,0.0166132,0.0161245,92.1669,101.833
14.7905,0.589049,0.120093,0.0107379,0.0101283,0.63967,0.120093,0.0107379,0.00839202,0.0166132,0.0176635,92.1669,101.833
14.8385,0.589049,0.120093,0.0107379,0.0101283,0.63967,0.120093,0.0107379,0.00983892,0.0170294,0.0153948,92.1669,101.833
14.8865,0.589049,0.120093,0.0107379,0.00926016,0.63967,0.120093,0.0107379,0.0101283,0.0161555,0.0174929,92.1669,101.909
14.9344,0.589049,0.120093,0.0107379,0.00983892,0.63967,0.129642,0.0107379,0.0101283,0.0159374,0.0181384,92.1669,101.858
14.9824,0.589049,0.120093,0.0107379,0.0101283,0.63967,0.129932,0.0107379,0.0101283,0.0164317,0.0176635,92.1669,101.833
15.0304,0.589049,0.12588,0.0107379,0.0101283,0.63967,0.469085,0.0107379,0.0101283,0.0160312,0.0168819,91.6582,101.833
15.0784,0.589049,0.127617,0.0107379,0.0101283,0.630466,0.404264,0.0107379,0.0101283,0.0152971,0.0167631,91.5056,101.833
15.1264,0.589049,0.192727,0.0107379,0.0101283,0.630466,0.169866,0.0107379,0.0101283,0.0144222,0.0161245,85.7825,101.833
15.1744,0.589049,0.298061,0.0107379,0.0101283,0.630466,0.141217,0.0107379,0.0101283,0.0157797,0.0161245,76.5238,101.833
15.2224,0.589049,0.294589,0.0107379,0.0101283,0.630466,0.14006,0.0107379,0.0101283,0.0195959,0.0163095,76.829,101.833
15.2704,0.589049,0.187808,0.0107379,0.0101283,0.630466,0.131957,0.0107379,0.0101283,0.0188414,0.0174929,86.2149,101.833
15.3184,0.589049,0.142086,0.0107379,0.0101283,0.630466,0.139771,0.0107379,0.0101283,0.0130384,0.0181384,90.2338,101.833
15.3664,0.589049,0.133404,0.0107379,0.0101283,0.630466,0.14006,0.0107379,0.0101283,0.0147986,0.0174929,90.9968,101.833
15.4143,0.589049,0.136587,0.0107379,0.0101283,0.630466,0.128774,0.0107379,0.0101283,0.0152971,0.0168819,90.7171,101.833
15.4623,0.589049,0.137745,0.0107379,0.0101283,0.630466,0.139481,0.0107379,0.0179416,0.0159374,0.0167631,90.6153,101.833
15.5104,0.589049,0.131089,0.0107379,0.0101283,0.630466,0.143243,0.0107379,0.0199672,0.0171172,0.0179165,91.2003,101.833
15.5584,0.589049,0.135719,0.0107379,0.0159159,0.630466,0.157712,0.0107379,0.0199672,0.0161555,0.0177482,90.7934,101.324
15.6064,0.589049,0.14006,0.0107379,0.0196778,0.630466,0.119803,0.0107379,0.0199672,0.0171172,0.018868,90.4118,100.993
15.6544,0.589049,0.152214,0.0107379,0.0199672,0.630466,0.150478,0.0107379,0.0104177,0.0159374,0.0171464,89.3435,100.968
15.7024,0.589049,0.128774,0.0107379,0.0199672,0.630466,0.159738,0.0107379,0.0196778,0.0160312,0.0158114,91.4038,100.968
15.7504,0.589049,0.141507,0.0107379,0.0133115,0.630466,0.166394,0.0107379,0.0199672,0.0162481,0.018,90.2846,101.553
15.7983,0.589049,0.155397,0.0107379,0.0176522,0.630466,0.169866,0.0107379,0.0199672,0.0169115,0.0186815,89.0637,101.171
15.8464,0.589049,0.162921,0.0107379,0.0202566,0.630466,0.169866,0.0107379,0.0118646,0.0171172,0.0180555,88.4024,100.942
15.8943,0.589049,0.166394,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0196778,0.0172916,0.0171464,88.0971,100.968
15.9424,0.589049,0.167262,0.0107379,0.0141796,0.630466,0.169866,0.0107379,0.0199672,0.0159374,0.0152643,88.0208,101.476
15.9903,0.589049,0.167262,0.0107379,0.0179416,0.630466,0.169866,0.0107379,0.0199672,0.0169115,0.0172916,88.0208,101.146
16.0383,0.589049,0.167262,0.0107379,0.0202566,0.630466,0.169866,0.0107379,0.0199672,0.0161555,0.0180555,88.0208,100.942
16.0863,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0167631,0.0169115,88.0208,100.968
16.1344,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0166733,0.0156205,88.0208,100.968
16.1824,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0174642,0.0176918,88.0208,100.968
16.2303,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0161555,0.0180555,88.0208,100.968
16.2784,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0164012,0.0164317,88.0208,100.968
16.3263,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0161555,0.0172046,88.0208,100.968
16.3743,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0168819,0.0167332,88.0208,100.968
16.4223,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.146137,0.0107379,0.0199672,0.0168226,0.0178326,88.0208,100.968
16.4703,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.146716,0.0107379,0.0199672,0.0159374,0.01772,88.0208,100.968
16.5183,0.589049,0.151635,0.0107379,0.0199672,0.630466,0.168998,0.0107379,0.0199672,0.0170294,0.0172916,89.3944,100.968
16.5663,0.589049,0.146137,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0179444,0.0172916,89.8777,100.968
16.6143,0.589049,0.162053,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0179444,0.01772,88.4787,100.968
16.6623,0.589049,0.166972,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0166433,0.0189737,88.0463,100.968
16.7103,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0199672,0.0168226,0.0181384,88.0208,100.968
16.7583,0.589049,0.167551,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0179416,0.0161555,0.0163095,87.9954,100.968
16.8063,0.589049,0.167262,0.0107379,0.0199672,0.630466,0.169866,0.0107379,0.0196778,0.0168226,0.015843,88.0208,100.968
16.8544,0.589049,0.167262,0.0107379,0.0185203,0.630466,0.176522,0.0107379,0.0199672,0.01772,0.0175499,88.0208,101.095
16.9023,0.589049,0.167551,0.0107379,0.0199672,0.630466,0.197357,0.0107379,0.0376194,0.0166132,0.0191311,87.9954,100.968
16.9503,0.589049,0.17247,0.0107379,0.0199672,0.630466,0.199962,0.0107379,0.0480371,0.0177482,0.0174929,87.563,100.968
16.9983,0.589049,0.190412,0.0107379,0.0338575,0.630466,0.198515,0.0107379,0.0497734,0.0166132,0.0195192,85.986,99.7468
17.0464,0.589049,0.197068,0.0107379,0.045722,0.630466,0.190412,0.0107379,0.057876,0.0164317,0.0175499,85.4009,98.704
